0	64	333
1	869	327
2	13	83
3	710	322
4	809	117
5	204	467
6	759	10
7	609	62
8	304	637
9	750	952
10	459	531
11	831	927
12	828	337
13	220	541
14	655	777
15	227	428
16	812	53
17	539	395
18	884	191
19	952	88
20	399	218
21	290	805
22	604	73
23	782	713
24	574	972
25	6	499
26	953	428
27	917	382
28	129	594
29	829	195
30	707	523
31	362	49
32	442	592
33	719	117
34	615	852
35	294	170
36	101	206
37	259	764
38	978	377
39	229	288
40	872	937
41	646	745
42	483	363
43	533	75
44	84	354
45	61	65
46	607	762
47	400	684
48	310	509
49	427	172
50	412	987
51	142	726
52	37	108
53	380	518
54	247	896
55	739	886
56	970	12
57	665	789
58	417	72
59	274	198
60	672	935
61	370	109
62	401	383
63	507	435
64	856	399
65	273	994
66	760	862
67	933	242
68	341	993
69	589	301
70	975	314
71	282	438
72	316	68
73	543	600
74	930	85
75	218	457
76	251	698
77	895	492
78	45	74
79	707	611
80	538	332
81	411	943
82	84	233
83	246	112
84	241	950
85	451	745
86	856	280
87	183	949
88	206	669
89	248	834
90	244	691
91	998	943
92	742	789
93	930	514
94	526	310
95	977	598
96	588	646
97	461	930
98	464	325
99	737	45
100	145	442
101	156	190
102	484	160
103	618	657
104	116	529
105	821	701
106	273	134
107	289	825
108	459	494
109	553	337
110	119	924
111	433	253
112	884	751
113	561	642
114	93	505
115	981	254
116	10	968
117	645	843
118	547	645
119	600	427
120	682	584
121	995	544
122	35	339
123	330	991
124	126	448
125	606	390
126	281	223
127	645	287
128	378	432
129	705	853
130	541	173
131	70	250
132	867	374
133	329	732
134	415	194
135	885	764
136	186	355
137	272	292
138	257	721
139	627	931
140	463	596
141	167	640
142	412	277
143	737	639
144	344	186
145	934	918
146	80	701
147	342	376
148	338	89
149	424	143
150	372	250
151	973	455
152	371	132
153	350	541
154	58	468
155	794	993
156	200	762
157	413	453
158	38	451
159	282	563
160	177	184
161	493	900
162	649	328
163	863	800
164	287	714
165	143	407
166	225	138
167	410	832
168	565	930
169	504	258
170	371	409
171	712	745
172	904	482
173	167	211
174	288	131
175	391	808
176	980	867
177	341	3
178	878	569
179	953	82
180	343	350
181	431	39
182	879	632
183	685	625
184	486	380
185	751	568
186	319	153
187	757	444
188	950	969
189	676	577
190	650	877
191	868	846
192	442	776
193	39	579
194	128	970
195	459	569
196	991	589
197	968	321
198	424	983
199	996	154
200	966	528
201	556	824
202	815	724
203	996	151
204	710	307
205	523	482
206	738	334
207	323	62
208	938	971
209	911	816
210	681	991
211	994	218
212	265	824
213	595	557
214	499	44
215	564	225
216	661	771
217	947	805
218	537	383
219	484	441
220	232	528
221	696	352
222	41	582
223	267	319
224	170	380
225	808	494
226	693	409
227	174	993
228	146	958
229	57	486
230	510	285
231	130	517
232	216	38
233	818	34
234	289	658
235	129	636
236	607	538
237	969	938
238	6	345
239	355	157
240	203	71
241	893	335
242	47	64
243	963	84
244	60	255
245	59	879
246	31	611
247	808	744
248	210	537
249	688	249
250	773	431
251	864	920
252	335	838
253	794	172
254	830	559
255	251	731
256	675	150
257	238	348
258	598	365
259	820	448
260	611	956
261	187	866
262	583	351
263	189	407
264	92	934
265	141	805
266	183	752
267	567	175
268	686	268
269	473	336
270	79	116
271	113	465
272	661	849
273	307	1
274	906	773
275	38	465
276	449	770
277	946	219
278	896	988
279	387	109
280	926	5
281	907	51
282	968	0
283	43	812
284	328	694
285	713	705
286	802	608
287	278	818
288	556	794
289	577	117
290	242	997
291	327	508
292	665	633
293	330	219
294	342	731
295	395	907
296	422	948
297	411	560
298	497	559
299	923	976
300	610	737
301	142	231
302	757	367
303	943	754
304	376	346
305	372	210
306	860	172
307	70	265
308	310	731
309	652	676
310	443	759
311	492	553
312	292	799
313	564	739
314	212	772
315	378	634
316	277	415
317	973	3
318	306	381
319	413	299
320	5	460
321	554	962
322	241	750
323	599	540
324	554	227
325	82	40
326	553	840
327	482	507
328	455	335
329	660	220
330	369	403
331	754	592
332	517	525
333	800	300
334	993	964
335	360	909
336	653	946
337	619	14
338	281	804
339	263	706
340	143	878
341	813	591
342	53	396
343	535	236
344	61	981
345	637	174
346	793	661
347	686	387
348	880	845
349	250	770
350	333	779
351	217	130
352	660	688
353	835	302
354	744	422
355	694	265
356	214	267
357	422	102
358	710	653
359	599	401
360	486	215
361	644	718
362	254	345
363	153	4
364	462	457
365	155	245
366	156	370
367	38	837
368	5	276
369	629	638
370	575	75
371	810	844
372	265	360
373	529	75
374	6	823
375	777	604
376	497	700
377	400	304
378	466	182
379	335	255
380	840	95
381	789	417
382	208	623
383	674	562
384	738	233
385	898	93
386	73	437
387	511	982
388	265	62
389	729	760
390	324	26
391	871	586
392	931	108
393	862	337
394	232	466
395	533	525
396	105	96
397	479	338
398	170	162
399	876	306
400	663	220
401	753	974
402	612	122
403	965	823
404	836	474
405	766	957
406	492	763
407	305	300
408	839	842
409	123	630
410	739	979
411	200	456
412	782	522
413	465	715
414	7	401
415	174	944
416	175	665
417	789	150
418	517	560
419	803	566
420	519	658
421	87	551
422	202	875
423	46	965
424	549	905
425	978	595
426	419	191
427	198	520
428	694	671
429	524	709
430	503	460
431	687	100
432	517	137
433	652	518
434	520	361
435	47	637
436	967	365
437	872	940
